TsetName	Method	SCRMs	REDflyRecovered	redflyoverlap	redflypercentoverlap	negorigoverlap	negorigpercentoverlap	Dset
adult_brain	hexmcd	550	116	1	0.0086	16	0.0291	Original
adult_brain	imm	611	110	2	0.0182	59	0.0966	Original
adult_brain	pac	849	107	4	0.0374	154	0.1814	Original
adult_circulatory	hexmcd	469	116	25	0.2155	228	0.4861	Original
adult_circulatory	imm	335	93	17	0.1828	167	0.4985	Original
adult_circulatory	pac	771	127	24	0.189	376	0.4877	Original
adult_cns	hexmcd	555	109	0	0	12	0.0216	Original
adult_cns	imm	550	109	1	0.0092	38	0.0691	Original
adult_cns	pac	765	96	3	0.0313	131	0.1712	Original
adult_foregut	hexmcd	454	115	24	0.2087	210	0.4626	Original
adult_foregut	imm	341	96	22	0.2292	179	0.5249	Original
adult_foregut	pac	719	101	24	0.2376	367	0.5104	Original
adult_mesoderm.mapping1	hexmcd	482	180	48	0.2667	229	0.4751	Original
adult_mesoderm.mapping1	imm	447	198	32	0.1616	141	0.3154	Original
adult_mesoderm.mapping1	pac	689	241	67	0.278	332	0.4819	Original
adult_midgut	hexmcd	479	117	22	0.188	215	0.4489	Original
adult_midgut	imm	350	92	21	0.2283	182	0.52	Original
adult_midgut	pac	635	110	20	0.1818	290	0.4567	Original
adult_muscle	hexmcd	451	145	27	0.1862	157	0.3481	Original
adult_muscle	imm	340	128	16	0.125	72	0.2118	Original
adult_muscle	pac	515	138	32	0.2319	218	0.4233	Original
adult_nervous	hexmcd	551	116	1	0.0086	8	0.0145	Original
adult_nervous	imm	585	117	0	0	41	0.0701	Original
adult_nervous	pac	858	119	5	0.042	142	0.1655	Original
adult_pns	hexmcd	456	51	7	0.1373	161	0.3531	Original
adult_pns	imm	386	61	15	0.2459	212	0.5492	Original
adult_pns	pac	827	73	7	0.0959	310	0.3748	Original
adult_sense_organ	hexmcd	589	67	6	0.0896	148	0.2513	Original
adult_sense_organ	imm	501	75	13	0.1733	172	0.3433	Original
adult_sense_organ	pac	765	78	7	0.0897	305	0.3987	Original
adult_somatic_muscle	hexmcd	452	143	39	0.2727	197	0.4358	Original
adult_somatic_muscle	imm	311	124	14	0.1129	95	0.3055	Original
adult_somatic_muscle	pac	538	153	41	0.268	232	0.4312	Original
