TsetName	Method	TsetSize	TotalREDfly	ModifiedREDfly	TotalREDfly2010	ModifiedREDfly2010	SCRMs	TrainingSetRecovered	PercentageTrainingSetSensitivity	ExpectedValueRandom	PercentageExpectedTrainingSetSensitivity	DifferencesInPercentagesActual&Expected	P_value	REDflyRecovered	PercentageRedflyRecovered	ExpectedOverlapRandom	PercentageExpectedOverlap	DifferencesInPercentagesActual&Expected	P_value	PercentageRecallREDflyRecovery	numberOfKnownCrmsCausesExpressionInTset	numOfSCRMsRecoveredExpMappedCrms	PercentagePatternRecovery	RandomREDflyRecoveredPattern	PercentageOfRandomPatternRecovered	numOfRecoveredSCrmsBelongingToOwnGroup	numOfRecoveredSCrmsBelongingToAnyGroup	percentageExpressionPatternPrecision	ExpectedpercentageExpressionPatternPrecision	P_value	DifferencesInPercentagesActual&ExpectedExpressionRecovered	percentageExpressionPatternRecall	ExpectedpercentageExpressionPatternRecall
male_reproductive	imm	23	9368	23770	11461	11456	409	6	0.260869565	0	0	0.260869565	0	40	0.099255583	37.5	0.093052109	0.006112469	0.295365833	0.00349162	97	67	0.166253102	200	0.496277916	5	67	0.074626866	0.005112113	0	0.069514753	0.051546392	0.005154639
antennal_disc	imm	21	9368	23780	11461	11457	247	8	0.380952381	0	0	0.380952381	0	42	0.175732218	23.9	0.1	0.073279352	0.001376229	0.003665881	658	55	0.230125523	103.9	0.434728033	9	55	0.163636364	0.072260062	0.001359046	0.091376302	0.013677812	0.006990881
adult_midgut	imm	19	9368	23789	11461	11457	344	9	0.473684211	0.1	0.005263158	0.468421053	1.41E-174	83	0.247761194	31.3	0.093432836	0.150290698	4.16E-79	0.007244479	65	133	0.397014925	156.8	0.468059701	0	133	0	0.005046827	0.778878286	-0.005046827	0	0.006153846
embryonic_sense_organ	imm	21	9368	23784	11461	11445	667	12	0.571428571	0	0	0.571428571	0	41	0.06259542	65.5	0.1	-0.036731634	0.000158211	0.00358235	76	91	0.138931298	303.5	0.463358779	3	91	0.032967033	0.004154116	1.87E-07	0.028812917	0.039473684	0.009210526
emb-larv_circulatory_system	imm	25	9368	23776	11461	11452	398	15	0.6	0	0	0.6	0	102	0.266318538	33.8	0.088250653	0.171356784	5.70E-26	0.008906741	510	141	0.368146214	179.2	0.467885117	11	141	0.078014184	0.038413018	6.79E-05	0.039601166	0.021568627	0.007254902
mapping1.blastoderm	imm	82	9368	23646	11461	11445	322	45	0.548780488	0.3	0.003658537	0.545121951	0	108	0.389891697	34.9	0.12599278	0.227018634	8.00E-52	0.009436435	486	165	0.59566787	161.4	0.58267148	80	165	0.484848485	0.03304264	0	0.451805845	0.164609053	0.005761317
dorsal_ectoderm.mapping1	imm	32	9368	23761	11461	11449	399	18	0.5625	0.2	0.00625	0.55625	0	56	0.146981627	39.7	0.104199475	0.04085213	0.005298801	0.004891257	417	111	0.291338583	178.7	0.469028871	11	111	0.099099099	0.044381894	0.030832183	0.054717205	0.026378897	0.010071942
female_reproductive	imm	25	9368	23765	11461	11450	288	11	0.44	0.1	0.004	0.436	1.18E-260	72	0.259927798	27.4	0.098916968	0.154861111	6.65E-22	0.00628821	180	71	0.25631769	125.3	0.45234657	4	71	0.056338028	0.014174595	0.012864233	0.042163433	0.022222222	0.005555556
mapping2.neuroectoderm	imm	8	9368	23792	11461	11460	207	6	0.75	0	0	0.75	0	39	0.194029851	18.5	0.092039801	0.099033816	3.34E-06	0.003403141	125	61	0.303482587	80.9	0.402487562	4	61	0.06557377	0.015032924	1.30E-06	0.050540846	0.032	0.0056
myoblast	imm	18	9368	23780	11461	11457	239	12	0.666666667	0.1	0.005555556	0.661111111	3.3331054129278e-310	44	0.193832599	19.1	0.084140969	0.1041841	3.76E-08	0.003840447	96	64	0.281938326	104.3	0.459471366	2	64	0.03125	0.003464755	7.45E-05	0.027785245	0.020833333	0.002083333
