TsetName	Method	TsetSize	TotalREDfly	ModifiedREDfly	TotalREDfly2010	ModifiedREDfly2010	SCRMs	TrainingSetRecovered	PercentageTrainingSetSensitivity	ExpectedValueRandom	PercentageExpectedTrainingSetSensitivity	DifferencesInPercentagesActual&Expected	P_value	REDflyRecovered	PercentageRedflyRecovered	ExpectedOverlapRandom	PercentageExpectedOverlap	DifferencesInPercentagesActual&Expected	P_value	PercentageRecallREDflyRecovery	numberOfKnownCrmsCausesExpressionInTset	numOfSCRMsRecoveredExpMappedCrms	PercentagePatternRecovery	RandomREDflyRecoveredPattern	PercentageOfRandomPatternRecovered	numOfRecoveredSCrmsBelongingToOwnGroup	numOfRecoveredSCrmsBelongingToAnyGroup	percentageExpressionPatternPrecision	ExpectedpercentageExpressionPatternPrecision	P_value	DifferencesInPercentagesActual&ExpectedExpressionRecovered	percentageExpressionPatternRecall	ExpectedpercentageExpressionPatternRecall
male_reproductive	imm	23	9368	23770	11461	11456	526	5	0.217391304	0	0	0.217391304	0	198	0.380038388	53	0.101727447	0.275665399	4.97E-204	0.01728352	97	277	0.531669866	243.4	0.467178503	5	277	0.018050542	0.003823563	0.000212723	0.014226978	0.051546392	0.005154639
antennal_disc	imm	21	9368	23780	11461	11457	370	8	0.380952381	0	0	0.380952381	0	83	0.229281768	37.9	0.104696133	0.121891892	3.15E-31	0.007244479	658	109	0.301104972	167.4	0.462430939	13	109	0.119266055	0.088114798	0.188865568	0.031151257	0.019756839	0.011550152
adult_midgut	imm	19	9368	23789	11461	11457	350	9	0.473684211	0.1	0.005263158	0.468421053	1.41E-174	92	0.269794721	34.6	0.101466276	0.164	2.85E-25	0.008030025	65	165	0.483870968	155.2	0.455131965	0	165	0	0.003066802	0.669237538	-0.003066802	0	0.004615385
embryonic_sense_organ	imm	21	9368	23784	11461	11445	627	14	0.666666667	0	0	0.666666667	0	74	0.120717781	62.4	0.101794454	0.018500797	0.096770681	0.006465706	76	204	0.33278956	290.8	0.474388254	7	204	0.034313725	0.005645623	2.96E-07	0.028668103	0.092105263	0.010526316
emb-larv_circulatory_system	imm	25	9368	23776	11461	11452	415	13	0.52	0.2	0.008	0.512	9.89E-203	160	0.39800995	42.5	0.105721393	0.28313253	1.79E-104	0.013971359	510	204	0.507462687	190.1	0.472885572	15	204	0.073529412	0.047115497	0.125498	0.026413914	0.029411765	0.009803922
mapping1.blastoderm	imm	82	9368	23646	11461	11445	322	40	0.487804878	0.1	0.001219512	0.486585366	0	107	0.379432624	35.3	0.125177305	0.222670807	2.53E-29	0.009349061	486	145	0.514184397	155.1	0.55	76	145	0.524137931	0.026497867	0	0.497640064	0.156378601	0.004320988
dorsal_ectoderm.mapping1	imm	32	9368	23761	11461	11449	445	19	0.59375	0	0	0.59375	0	124	0.291079812	43.6	0.102347418	0.180674157	1.12E-105	0.01083064	417	208	0.488262911	196.1	0.460328638	14	208	0.067307692	0.049010208	0.187793442	0.018297484	0.033573141	0.012230216
female_reproductive	imm	25	9368	23765	11461	11450	258	12	0.48	0	0	0.48	0	102	0.414634146	24.7	0.100406504	0.299612403	5.58E-30	0.008908297	180	93	0.37804878	119.1	0.484146341	6	93	0.064516129	0.011602007	2.54E-07	0.052914122	0.033333333	0.003888889
mapping2.neuroectoderm	imm	8	9368	23792	11461	11460	238	6	0.75	0	0	0.75	0	55	0.237068966	23.4	0.100862069	0.132773109	1.52E-21	0.004799302	125	90	0.387931034	111.2	0.479310345	5	90	0.055555556	0.00828132	2.37E-05	0.047274236	0.04	0.004
myoblast	imm	18	9368	23780	11461	11457	326	12	0.666666667	0.1	0.005555556	0.661111111	3.3331054129278e-310	98	0.312101911	30.5	0.097133758	0.207055215	1.66E-132	0.008553723	96	138	0.439490446	143.7	0.457643312	2	138	0.014492754	0.003702703	0.109475728	0.010790051	0.020833333	0.003125
